iter	Passed	Remaining
0	218	217955
1	220	109962
2	221	73670
3	222	55444
4	223	44556
5	225	37324
6	228	32368
7	229	28421
8	230	25342
9	231	22879
10	232	20906
11	233	19242
12	234	17827
13	236	16622
14	238	15683
15	239	14745
16	240	13924
17	241	13196
18	242	12536
19	243	11941
20	244	11405
21	245	10926
22	247	10508
23	248	10113
24	249	9738
25	250	9391
26	253	9136
27	254	8839
28	255	8560
29	256	8297
30	257	8052
31	258	7822
32	259	7609
33	261	7421
34	262	7233
35	263	7053
36	264	6879
37	265	6714
38	266	6562
39	267	6414
40	268	6273
41	269	6140
42	270	6015
43	271	5896
44	272	5778
45	273	5670
46	275	5589
47	277	5494
48	277	5395
49	278	5298
50	279	5205
51	280	5116
52	281	5031
53	282	4950
54	283	4873
55	284	4796
56	285	4722
57	286	4651
58	287	4584
59	290	4547
60	291	4486
61	292	4423
62	293	4361
63	294	4303
64	295	4248
65	296	4193
66	297	4139
67	298	4086
68	299	4035
69	300	3985
70	300	3938
71	301	3892
72	303	3859
73	305	3818
74	306	3777
75	307	3736
76	308	3695
77	309	3654
78	310	3615
79	311	3579
80	312	3541
81	313	3505
82	313	3465
83	314	3430
84	315	3397
85	316	3365
86	319	3354
87	320	3323
88	321	3292
89	322	3262
90	323	3233
91	324	3204
92	325	3177
93	326	3148
94	327	3119
95	328	3092
96	329	3066
97	330	3040
98	331	3016
99	334	3012
100	335	2987
101	336	2962
102	337	2939
103	338	2917
104	339	2895
105	340	2872
106	341	2851
107	342	2829
108	343	2807
109	344	2787
110	345	2767
111	346	2748
112	348	2735
113	349	2716
114	350	2697
115	351	2680
116	352	2660
117	353	2642
118	354	2626
119	355	2608
120	356	2591
121	357	2572
122	358	2556
123	359	2539
124	360	2524
125	362	2515
126	363	2500
127	364	2485
128	365	2468
129	366	2453
130	367	2438
131	368	2424
132	369	2409
133	370	2395
134	371	2380
135	372	2366
136	373	2352
137	374	2338
138	375	2326
139	377	2317
140	378	2307
141	379	2292
142	380	2280
143	381	2266
144	382	2253
145	383	2240
146	384	2228
147	385	2216
148	385	2204
149	386	2192
150	387	2180
151	388	2168
152	390	2160
153	392	2156
154	393	2146
155	394	2136
156	395	2125
157	396	2115
158	397	2104
159	398	2093
160	399	2081
161	400	2071
162	401	2060
163	402	2050
164	403	2040
165	404	2031
166	405	2023
167	407	2018
168	408	2009
169	409	2000
170	410	1990
171	411	1980
172	412	1971
173	413	1962
174	414	1953
175	415	1944
176	416	1935
177	417	1926
178	418	1918
179	419	1912
180	421	1909
181	423	1901
182	423	1892
183	424	1883
184	425	1875
185	426	1867
186	427	1859
187	428	1851
188	429	1843
189	430	1835
190	431	1828
191	432	1820
192	433	1813
193	435	1811
194	437	1804
195	438	1796
196	438	1788
197	439	1780
198	440	1773
199	441	1766
200	442	1758
201	443	1752
202	444	1745
203	445	1738
204	446	1731
205	447	1724
206	448	1718
207	450	1716
208	451	1709
209	452	1703
210	453	1696
211	454	1688
212	455	1681
213	456	1675
214	457	1669
215	458	1662
216	459	1656
217	460	1650
218	461	1644
219	461	1637
220	463	1632
221	465	1629
222	466	1623
223	467	1617
224	467	1611
225	468	1605
226	469	1600
227	470	1594
228	471	1588
229	472	1582
230	473	1576
231	474	1570
232	475	1565
233	476	1560
234	477	1554
235	479	1552
236	480	1547
237	481	1542
238	482	1536
239	483	1530
240	484	1525
241	485	1521
242	486	1516
243	487	1511
244	488	1506
245	489	1500
246	490	1495
247	491	1490
248	492	1485
249	494	1483
250	495	1478
251	496	1474
252	497	1468
253	498	1464
254	499	1459
255	500	1454
256	501	1449
257	502	1445
258	503	1440
259	504	1435
260	505	1430
261	506	1426
262	508	1424
263	509	1420
264	510	1415
265	511	1411
266	512	1406
267	513	1401
268	514	1397
269	515	1393
270	516	1388
271	517	1384
272	518	1379
273	519	1375
274	520	1371
275	521	1366
276	522	1363
277	523	1360
278	524	1356
279	525	1352
280	526	1347
281	527	1343
282	528	1339
283	529	1335
284	530	1330
285	531	1326
286	532	1322
287	533	1318
288	534	1314
289	535	1310
290	536	1307
291	538	1305
292	539	1301
293	540	1297
294	541	1293
295	542	1289
296	543	1285
297	543	1281
298	544	1277
299	545	1273
300	546	1269
301	547	1266
302	548	1262
303	550	1259
304	551	1256
305	552	1253
306	554	1250
307	555	1247
308	556	1243
309	556	1239
310	557	1236
311	558	1232
312	559	1228
313	560	1224
314	561	1221
315	562	1217
316	563	1214
317	564	1210
318	565	1208
319	566	1204
320	567	1201
321	568	1197
322	569	1194
323	570	1190
324	571	1187
325	572	1183
326	573	1180
327	574	1176
328	575	1173
329	576	1170
330	577	1166
331	578	1163
332	579	1159
333	580	1156
334	581	1153
335	582	1150
336	583	1147
337	584	1144
338	585	1140
339	585	1137
340	586	1134
341	587	1131
342	588	1127
343	589	1124
344	590	1121
345	591	1118
346	592	1115
347	593	1111
348	594	1108
349	595	1105
350	596	1102
351	597	1099
352	598	1096
353	599	1093
354	600	1090
355	601	1087
356	602	1084
357	603	1081
358	603	1078
359	604	1075
360	605	1072
361	606	1069
362	607	1066
363	608	1063
364	609	1060
365	610	1057
366	611	1054
367	612	1051
368	613	1048
369	614	1045
370	615	1043
371	616	1040
372	617	1037
373	618	1035
374	619	1032
375	620	1029
376	621	1026
377	622	1024
378	623	1021
379	624	1019
380	625	1016
381	626	1013
382	627	1010
383	628	1008
384	629	1005
385	630	1002
386	631	999
387	632	997
388	633	994
389	634	991
390	634	989
391	635	986
392	636	983
393	637	980
394	638	978
395	639	975
396	640	972
397	641	970
398	642	967
399	643	965
400	644	962
401	645	960
402	646	957
403	647	954
404	648	952
405	649	949
406	650	947
407	651	944
